date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:27	428/428	---M--	200	added ('OK')	image/png	etag:%2268ca88ec-1ac%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/bahrain-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/bahrain-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:27	546/546	---M--	200	added ('OK')	image/png	etag:%2268ca88de-222%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/saudi-arabia-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/saudi-arabia-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:28	490/490	---M--	200	added ('OK')	image/png	etag:%2268ca88f6-1ea%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/jordan-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/jordan-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:28	444/444	---M--	200	added ('OK')	image/png	etag:%2268ca88e8-1bc%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/palestine-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/palestine-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:28	557/557	---M--	200	added ('OK')	image/png	etag:%2268ca88e7-22d%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/us-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/us-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:28	452/452	---M--	200	added ('OK')	image/png	etag:%2268ca88e0-1c4%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/canada-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/canada-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:29	487/487	---M--	200	added ('OK')	image/png	etag:%2268ca88e2-1e7%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/mexico-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/mexico-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:29	526/526	---M--	200	added ('OK')	image/png	etag:%2268ca88fe-20e%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/jamaica-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/jamaica-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:29	346/346	---M--	200	added ('OK')	image/png	etag:%2268ca8903-15a%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/costa-rica-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/costa-rica-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:29	40091/40091	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268ca88cf-9c9b%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/mega-menu-vector1.svg	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/mega-menu-vector1.svg	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
